"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"ANT1";"ANT-SMD3P-3.2X1.6X1.04MM";1;"ANTENNA-AN3216";;;
2;"BAT1, NFC1, NFC2";"TP-80X40MIL";3;"TEST-POINT'4080'";;;
3;"C44, C45, C46, C65, C80";"C0201";5;"100nF";;;
4;"C47, C48, C49, C50, C54, C55, C57, C58, C59, C61, C62";"C0201";11;"2.2uF";;;
5;"C51";"C0201";1;"1pF";;;
6;"C60";"C0201";1;"DNP";;;
7;"C63";"C0201";1;"820pF";;;
8;"C64";"C0201";1;"100pF";;;
9;"C66";"C0201";1;"0.8pF";;;
10;"C67";"L0201";1;"4.7nH";;;
11;"C68, C69";"C0201";2;"15pF";;;
12;"C70";"C0201";1;"0.5pF";;;
13;"C71";"C0402";1;"1nF";;;
14;"C78, C79";"C0201";2;"10pF";;;
15;"CHG2";"LED-0402";1;"RED";;;
16;"D3";"SOD-523";1;"DIODE'0603'";;;
17;"GND1";"TP-80X40MIL";1;"GND";;;
18;"J13, J14";"H7-HALF-HOLE-2.54";2;"DNP";;;
19;"K1";"SW4-SMD-2.8-2.6X1.6X0.53MM";1;"BUTTON-4P";;;
20;"L5";"L0603";1;"10uH";;;
21;"MIC1";"MIC6P-3.5X2.65X0.94MM";1;"MSM261D3526H1CPM";;;
22;"Q2";"PMOS_1.0_0.6_0.35MM";1;"PMOS_1.00.60.35MM";;;
23;"R26, R27, R28, R33, R44";"R0201";5;"10k";;;
24;"R30, R31";"R0201";2;"2.7k";;;
25;"R32";"R0201";1;"100k";;;
26;"R34";"R0201";1;"1M_1%";;;
27;"R35";"R0201";1;"510k_1%";;;
28;"R36, R37";"R0201";2;"33R";;;
29;"R40, R41";"R0201";2;"5.1k";;;
30;"R42, R43, R45";"R0201";3;"2.2k";;;
31;"RGB6";"4P1010";1;"RGB";;;
32;"TP1, TP2, TP3, TP5";"TP-D45MIL";4;"TEST-POINT'4545'";;;
33;"U5";"LGA14-0.5-2.5X3X0.86MM";1;"LSM6DS3TR-C";;;
34;"U6";"BQ25101_DSBGA_6_BQ25101";1;"BQ25100";;;
35;"U7";"X2SON-4";1;"3.3V";;;
36;"U8";"USON2X3_8";1;"DNP";;;
37;"U9";"AQFN50P700X700X85_HS-74N";1;"NRF52840_QF";;;
38;"USB1";"USB2.0-TYPE-C";1;"USB2.0-TYPE-C";;;
39;"X2";"4P1612";1;"32MHz";;;
40;"X4";"X2-SMD-L1.6X1.0X0.5MM";1;"32.768KHz";;;
